Timestamp | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
--------------------------------------------------------------------------------
2025-06-24 18:02:51 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 18:02:51 | 8 | Auto Rickshaw | Black | Bajaj
2025-06-24 19:02:29 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:02:29 | B | Auto Rickshaw | Black | Bajaj
2025-06-24 19:03:29 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:03:29 | MH04KW1134 | SUV | Grey | Hyundai
2025-06-24 19:04:34 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:04:34 | MH02DG1950 | Sedan | White | Renault
2025-06-24 19:04:38 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:04:38 | N/A | Car/Scooter | White | N/A
2025-06-24 19:04:41 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:04:41 |  | Motorcycle | White | 
2025-06-24 19:05:04 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:05:04 | N/A | Scooter | Black/White | N/A
2025-06-24 19:05:09 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:05:09 |  | Motorcycle | White | Honda
2025-06-24 19:05:10 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:05:10 | 59 | Scooter | White | Honda
2025-06-24 19:05:51 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:05:51 | N/A | SUV | Silver | N/A
2025-06-24 19:06:00 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:06:00 | (Not Visible) | SUV | Silver | (Not Visible)
2025-06-24 19:06:19 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:06:19 | Not visible | Scooter | Gray/Silver | Unknown
2025-06-24 19:06:23 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:06:23 | MH 12 EN 7564 | Motorcycle | Black/Grey | 
2025-06-24 19:06:27 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:06:27 | MH 12EN 7564 | Motorcycle | Gray | 
2025-06-24 19:06:40 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:06:40 | MH 04 F 7514, MH 12 DY 2707 | Scooter | Gray | Honda
2025-06-24 19:06:41 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:06:41 | AP 16 EG 3787 | Scooter | Silver | Likely Honda (based on the "Activa" badge visible on the vehicle)
2025-06-24 19:07:56 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:07:56 | MH12VF9934 | Sedan | White | Suzuki
2025-06-24 19:09:29 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:09:29 |  | Auto Rickshaw | White | Bajaj
2025-06-24 19:09:31 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:09:31 |  | Auto Rickshaw | White, Yellow | Bajaj
2025-06-24 19:09:36 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:09:36 | MH12V B6898 | Auto Rickshaw | Black and Yellow | Bajaj
2025-06-24 19:09:50 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:09:50 | N/A | Scooter | Black | N/A
2025-06-24 19:10:45 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:10:45 | MH 12T U3725 | Auto Rickshaw | Black/Yellow | Bajaj
2025-06-24 19:10:58 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:10:58 | 41B164 | Motorbike | Black | 
2025-06-24 19:11:08 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:11:08 | MH41BK4164 | Motorcycle | Black | Unknown
2025-06-24 19:11:10 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:11:10 | N/A | Scooter | White | N/A
2025-06-24 19:11:14 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:11:14 |  | Motorcycle | White | Activa
2025-06-24 19:13:27 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:13:27 | 98 | Auto rickshaw | Black and Yellow | Unknown
2025-06-24 19:16:14 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:16:14 |  | Van | White | 
